,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp,H2O_liq_VESIcal,CO2_liq_VESIcal,Temperature_C_VESIcal,Pressure_bars_VESIcal,X_fluid_input_VESIcal,Model,Warnings
BT-ex,77.5,0.08,12.5,0.207,0.0,0.473,0.0,0.03,0.0,0.0,0.43,3.98,4.88,0.0,5.5,0.05,500,900,2.38456836637105,0.0324561587842498,900.0,1000.0,0.5,MagmaSat,
TVZMa-ex,78.37,0.13,11.94,0.0,0.0,0.99,0.04,0.05,0.0,0.0,0.53,3.8,4.14,0.0,4.06,0.005,600,800,2.40406756580507,0.0346020890084509,900.0,1000.0,0.5,MagmaSat,
TVZOh-ex,77.9,0.08,12.15,0.0,0.0,0.95,0.05,0.06,0.0,0.0,0.55,4.05,4.12,0.0,4.63,0.005,50,900,2.407664343585,0.033439332410493,900.0,1000.0,0.5,MagmaSat,
Oh48-FTIR1-MI1-a,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,4.214912,0.004566,250,950,2.41247069630685,0.0336703062821496,900.0,1000.0,0.5,MagmaSat,
Oh48-FTIR1-MI1-b,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,4.005816,0.004448,500,1025,2.41248461063309,0.0336700698826834,900.0,1000.0,0.5,MagmaSat,
Oh48-FTIR1-MI1-IRc,78.27,0.0298,12.02,0.0,0.0,0.9828,0.0336,0.0515,0.0,0.0,0.4772,4.05,4.09,0.0,3.885649,0.004654,5000,925,2.41248347096408,0.0336700892484881,900.0,1000.0,0.5,MagmaSat,
Oh50-4.1,77.91,0.0984,12.07,0.0,0.0,1.0556,0.0257,0.0999,0.0,0.0,0.5216,4.04,4.18,0.0,4.641843,0.004566,1000,862,2.40528235346431,0.0336124894475238,900.0,1000.0,0.5,MagmaSat,
Oh50-4.2,77.91,0.0984,12.07,0.0,0.0,1.0556,0.0257,0.0999,0.0,0.0,0.5216,4.04,4.18,0.0,4.402133,0.004448,100,770,2.40511507798533,0.0336153340309696,900.0,1000.0,0.5,MagmaSat,
Oh49-4.1,77.92,0.0099,12.11,0.0,0.0,1.002,0.0672,0.0546,0.0,0.0,0.5346,4.01,4.3,0.0,4.283934,0.004566,1000,855,2.41012062635274,0.0333975335720628,900.0,1000.0,0.5,MagmaSat,
Oh49-4.2,77.92,0.0099,12.11,0.0,0.0,1.002,0.0672,0.0546,0.0,0.0,0.5346,4.01,4.3,0.0,4.230533,0.004448,500,1000,2.41041007702296,0.0333926594920974,900.0,1000.0,0.5,MagmaSat,
Ma55-5a.1,77.68,0.0096,12.27,0.0,0.0,1.0272,0.0628,0.0342,0.0,0.0,0.6064,3.97,4.35,0.0,4.459767,0.004654,5000,1010,2.40532217182395,0.0332048486638506,900.0,1000.0,0.5,MagmaSat,
Ma57-3b.2,77.9,0.0498,12.07,0.0,0.0,1.0844,0.0748,0.0355,0.0,0.0,0.4759,4.1,4.21,0.0,3.712506,0.004448,1000,1012,2.41114701125906,0.0333588155749618,900.0,1000.0,0.5,MagmaSat,
Ma57-3c.1,77.65,0.159,12.28,0.0,0.0,0.9769,0.0597,0.0577,0.0,0.0,0.5598,4.08,4.18,0.0064,4.443973,0.004654,100,885,2.40092440230964,0.0332507437951284,900.0,1000.0,0.5,MagmaSat,
Ma57-3c.2,77.65,0.159,12.28,0.0,0.0,0.9769,0.0597,0.0577,0.0,0.0,0.5598,4.08,4.18,0.0064,4.283171,0.004645,1000,885,2.40090910847844,0.0332510013760127,900.0,1000.0,0.5,MagmaSat,
